x,y,z,element
1.622376274041545,0.1181195115823888,1.9304609959216046,8
-0.17887294688654926,-0.4011140591922827,0.43574270745262667,6
-0.15975896449404145,-0.6867953973265,-1.0620634063306194,6
-0.6118711320858143,-1.7370556797972512,-0.1014171485639142,6
-1.2390213202766092,0.48028110057681495,0.9880409850405638,6
1.2590714667968823,-0.5165367829646174,-1.4219684979665739,6
1.231421965215965,-0.1007681342616558,0.7965351702839203,6
2.076936261941743,-0.19389864299511148,-0.4042318637865215,6
-1.25687940900098,0.4876644354566671,2.5267993433937224,6
-1.1223772768101505,1.928903923796926,0.4761353894008281,6
1.7227863479881365,-0.68333629197734,-2.8236432629956805,6
-0.8982699994263952,-0.23203344693340097,-1.6995234265727124,1
-1.657857724263001,-2.002080095583376,-0.07922370547559666,1
0.007230179378585876,-2.593332130788117,0.04064507644545146,1
-2.2195351497573146,0.11167983636797459,0.6495504757732848,1
3.1481865366396087,-0.16234392804232994,-0.3776184463357647,1
-1.2783295662764247,-0.5463799185811599,2.9039681170469054,1
-0.411348832830865,1.0556311998064352,2.937949954092049,1
-2.14180122685297,0.9879842498078831,2.9089137648943826,1
-1.134951582588206,1.9771808467848737,-0.6200132626673377,1
-0.21910442318770187,2.3977522721237783,0.766438267430387,1
-2.023796941686856,2.492319540669595,0.8223477702354783,1
1.1825361592141916,-0.02376308861980169,-3.4938372435288922,1
1.5102029310887264,-1.7089220662944318,-3.1506277649349785,1
2.793028374118496,-0.44915725361596054,-2.9493599882526156,1
